CategoryID,CountryID,CategoryTitle
1,1,Introduction
2,1,Geography
3,1,People
4,1,Government
5,1,Economy
6,1,Communications
7,1,Transportation
8,1,Military
9,1,Transnational Issues
10,2,Introduction
11,2,Geography
12,2,People
13,2,Government
14,2,Economy
15,2,Communications
16,2,Transportation
17,2,Military
18,2,Transnational Issues
19,3,Introduction
20,3,Geography
21,3,People
22,3,Government
23,3,Economy
24,3,Communications
25,3,Transportation
26,3,Military
27,3,Transnational Issues
28,4,Introduction
29,4,Geography
30,4,People
31,4,Government
32,4,Economy
33,4,Communications
34,4,Transportation
35,4,Military
36,4,Transnational Issues
37,5,Introduction
38,5,Geography
39,5,People
40,5,Government
41,5,Economy
42,5,Communications
43,5,Transportation
44,5,Military
45,5,Transnational Issues
46,6,Introduction
47,6,Geography
48,6,People
49,6,Government
50,6,Economy
51,6,Communications
52,6,Transportation
53,6,Military
54,6,Transnational Issues
55,7,Introduction
56,7,Geography
57,7,People
58,7,Government
59,7,Economy
60,7,Communications
61,7,Transportation
62,7,Military
63,7,Transnational Issues
64,8,Introduction
65,8,Geography
66,8,People
67,8,Government
68,8,Economy
69,8,Communications
70,8,Transportation
71,8,Military
72,8,Transnational Issues
73,9,Introduction
74,9,Geography
75,9,People
76,9,Government
77,9,Economy
78,9,Communications
79,9,Transportation
80,9,Military
81,9,Transnational Issues
82,10,Introduction
83,10,Geography
84,10,People
85,10,Government
86,10,Economy
87,10,Communications
88,10,Transportation
89,10,Military
90,10,Transnational Issues
91,11,Introduction
92,11,Geography
93,11,People
94,11,Government
95,11,Economy
96,11,Communications
97,11,Transportation
98,11,Military
99,11,Transnational Issues
100,12,Introduction
101,12,Geography
102,12,People
103,12,Government
104,12,Economy
105,12,Communications
106,12,Transportation
107,12,Military
108,12,Transnational Issues
109,13,Geography
110,13,People
111,13,Government
112,13,Economy
113,13,Transportation
114,13,Military
115,13,Transnational Issues
116,14,Introduction
117,14,Geography
118,14,People
119,14,Government
120,14,Economy
121,14,Communications
122,14,Transportation
123,14,Military
124,14,Transnational Issues
125,15,Introduction
126,15,Geography
127,15,People
128,15,Government
129,15,Economy
130,15,Communications
131,15,Transportation
132,15,Military
133,15,Transnational Issues
134,16,Geography
135,16,People
